KPI Type,,Category,,Aggregation Logic,,Topic ID,,,,Standard,NewStandard,,KPI Title is your IRIS KPI Title for displaying to user.,,,,,,,,,
"None = 0,",,"NONE = 0,",,"NONE = 0,",,TopicCode,Name,Category,,"NONE = 0,","NONE = 0,",,"Type is your type of KPI - narrative, tabular qualitative, tabular quantitative, table header. For that please follow the codes attached in the document.",,,,,,,,,
"    TextBlock = 1, (narrative)",,"    Environmental = 1,",,"    SUM = 1,",,T_01,Biodiversity and Ecosystems,1,,"    ISSB = 1,","    ISSB = 1,",,"Topic ID is which topic the KPI belongs to. For that please follow the codes attached in ""Code"" sheet of attached Excel.",,,,,,,,,
"    Table = 2, (table title)",,"    Social = 2,",,"    MATCH_AND_APPEND = 2,",,T_02,Climate Change including GHG Emissions,1,,"    BRSR = 2,","    BRSR = 2,",,"Aggregation Logic defines the aggregation formula for the particular KPI. For that please follow the codes attached in ""Code"" sheet of attached Excel.",,,,,,,,,
"    Numeric = 3, (numeric in table)",,"    Governance = 3,",,"    APPEND = 3,",,T_03,Energy Management,1,,"    GRI = 3,","    GRI = 3,",,Row Index specifies the row index for the KPI. Start the count from the cell where data is being entered - not the row/column headers.,,,,,,,,,
    TextArea = 4 (narrative in table),,    General = 4,,"    DUPLICATE = 4,",,T_04,Pollution & Air Quality,1,,"    ESRS = 4,","    ESRS = 4,",,Column Index specifies the column index for the KPI. Start the count from the cell where data is being entered - not the row/column headers.,,,,,,,,,
,,,,"    CUSTOM = 5,",,T_05,"Resource use, circular economy & Waste management",1,,    ASRS = 5,"    ASRS = 5,",,Row Header defines the row header for the particular KPI of a table.,,,,,,,,,
,,,,"    MUL = 6,",,T_06,Supplier Environmental Assessment,1,,SASB =6,"    GENERAL = 6,",,Column Header defines the column header for the particular KPI of a table.,,,,,,,,,
,,,,"    DIV = 7,",,T_07,Water & Marine Resource Management,1,,DJSI =7,"    CSRD = 7,",,Cell Formula defines any cell formula applicable.,,,,,,,,,
,,,,"    SUB = 8,",,T_08,Affected Communities,2,,CHRB = 8,"    SASB = 8,",,KPI Detail provides standard codes and standard-specific descriptions in JSON format. Please check the provided Excel for that.,,,,,,,,,
,,,,"    PERCENTAGE = 9,",,T_09,Consumer and End Users,2,,TNFD = 9,"    DJSI = 9,",,"Category provides E, S, G, GD categories. For that please follow the codes attached in ""Code"" sheet of attached Excel.",,,,,,,,,
,,,,"    AVERAGE = 10,",,T_10,"Employee Engagement, Diversity & Inclusion",2,,ISE = 10,"    CHRB = 10,",,"For KPIs with frequency (like CY, PY, N+1, N+2..so on) please repeat the KPIs, specify the frequency, and change the column order.",,,,,,,,,
,,,,"    MATCH_AND_APPEND2 = 11,",,T_11,"Employee Engagement, Training, and Development",2,,Ecovadis = 11,"    TNFD = 11,",,"For dynamic KPIs, just mention the broken down KPI titles, and change the column orders. The row order will remain 0.",,,,,,,,,
,,,,    CUSTOM1 = 12,,T_12,"Employee Safety, Health & Well-being",2,,,"    ISE = 12,",,,,,,,,,,,
